borough,year,month_name,average_house_price,number_of_crimes
Redbridge,2013,February,263623.15,1682
Redbridge,2013,January,262874.56,1724
Redbridge,2013,July,277577.07,1612
Redbridge,2013,June,270453.53,1546
Redbridge,2013,March,267799.55,1758
Redbridge,2013,May,268190.24,1664
Redbridge,2013,November,285106.18,1816
Redbridge,2013,October,283748.96,1763
Redbridge,2013,September,282995.87,1503
Redbridge,2014,April,290221.13,1487
Redbridge,2014,August,311111.3,1568
Redbridge,2014,December,326699.39,1691
Redbridge,2014,February,291686.78,1440
Redbridge,2014,January,289684.22,1772
Redbridge,2014,July,306623.54,1732
Redbridge,2014,June,300479.18,1677
Redbridge,2014,March,289190.95,1674
Redbridge,2014,May,293704.59,1607
Redbridge,2014,November,321365.2,1714
Redbridge,2014,October,316407.1,1741
Redbridge,2014,September,312776.26,1487
Redbridge,2015,April,330581.81,1473
Redbridge,2015,August,351663.36,1430
Redbridge,2015,December,369058.96,1672
Redbridge,2015,February,327255.53,1469
Redbridge,2015,January,325047.89,1581
Redbridge,2015,July,342833.41,1603
Redbridge,2015,June,336842.82,1702
Redbridge,2015,March,326566.85,1648
Redbridge,2015,May,328815.19,1460
Redbridge,2015,November,368279.29,1689
Redbridge,2015,October,363223.84,1644
Redbridge,2015,September,355374.56,1526
Redbridge,2016,April,388739.41,1630
Redbridge,2016,August,399449.36,1705
Redbridge,2016,December,402169.34,1560
Redbridge,2016,February,377716.57,1586
Redbridge,2016,January,371307.36,1489
Redbridge,2016,July,394380.96,1730
Redbridge,2016,June,388322.41,1602
Redbridge,2016,March,388150.79,1651
Redbridge,2016,May,389069.12,1651
Redbridge,2016,November,398303.75,1615
Redbridge,2016,October,401346.94,1684
Redbridge,2016,September,403091.76,1599
Richmond upon Thames,2012,April,445566.16,905
Richmond upon Thames,2012,August,470964.07,900
Richmond upon Thames,2012,December,466141.05,868
Richmond upon Thames,2012,February,442193.85,812
Richmond upon Thames,2012,January,434897.55,889
Richmond upon Thames,2012,July,468670.21,991
Richmond upon Thames,2012,June,457135.21,872
Richmond upon Thames,2012,March,442764.94,998
Richmond upon Thames,2012,May,446786.78,1134
Richmond upon Thames,2012,November,462002.74,947
Richmond upon Thames,2012,October,456331.11,995
Richmond upon Thames,2012,September,465848.38,857
Richmond upon Thames,2013,April,481102.46,889
Richmond upon Thames,2013,August,504618.75,914
Richmond upon Thames,2013,December,503809.45,762
Richmond upon Thames,2013,February,474164.05,790
Richmond upon Thames,2013,January,473974.01,921
Richmond upon Thames,2013,July,491191.59,907
Richmond upon Thames,2013,June,489625.02,942
Richmond upon Thames,2013,March,474809.72,927
Richmond upon Thames,2013,May,482861.48,850
Richmond upon Thames,2013,November,506504.42,850
Richmond upon Thames,2013,October,512941.63,822
Richmond upon Thames,2013,September,509785.88,865
Richmond upon Thames,2014,April,554545.76,827
Richmond upon Thames,2014,August,607598.77,835
Richmond upon Thames,2014,December,605032.08,831
Richmond upon Thames,2014,February,516210.14,680
Richmond upon Thames,2014,January,512941.72,899
Richmond upon Thames,2014,July,598031.18,930
Richmond upon Thames,2014,June,586768.38,909
Richmond upon Thames,2014,March,534264.4,854
Richmond upon Thames,2014,May,574048.19,904
Richmond upon Thames,2014,November,609361.51,955
Richmond upon Thames,2014,October,610018.63,916
Richmond upon Thames,2014,September,615843.04,916
Richmond upon Thames,2015,April,605762.95,858
Richmond upon Thames,2015,August,632845.23,880
Richmond upon Thames,2015,December,640645.15,850
Richmond upon Thames,2015,February,591959.53,753
Richmond upon Thames,2015,January,593230.43,853
Richmond upon Thames,2015,July,614134.34,850
Richmond upon Thames,2015,June,607109.31,870
Richmond upon Thames,2015,March,593409.68,924
Richmond upon Thames,2015,May,603858.55,959
Richmond upon Thames,2015,November,644455.25,830
Richmond upon Thames,2015,October,654907.33,913
Richmond upon Thames,2015,September,643019.07,873
Richmond upon Thames,2016,April,647204.9,845
Richmond upon Thames,2016,August,670081.35,960
Richmond upon Thames,2016,December,637708.03,860
Richmond upon Thames,2016,February,653025.31,809
Richmond upon Thames,2016,January,643448.38,835
Richmond upon Thames,2016,July,677067.29,1045
Richmond upon Thames,2016,June,654185.67,967
Richmond upon Thames,2016,March,662897.04,859
Richmond upon Thames,2016,May,654691.84,1061
Richmond upon Thames,2016,November,639468.6,906
Richmond upon Thames,2016,October,639088.34,918
Richmond upon Thames,2016,September,666263.06,1009
Southwark,2012,April,316547.41,2234
Southwark,2012,August,340003.04,2619
Southwark,2012,December,347838.76,2629
Southwark,2012,February,316878.5,2465
Southwark,2012,January,314802.16,2558
Southwark,2012,July,348366.95,2719
Southwark,2012,June,339161.44,2695
Southwark,2012,March,315910.28,2714
Southwark,2012,May,330786.53,2731
Southwark,2012,November,334333.83,2579
Southwark,2012,October,331380.77,2445
Southwark,2012,September,337481.31,2349
Southwark,2013,April,347839.63,2504
Southwark,2013,August,362032.76,2586
Southwark,2013,December,388015.79,2413
Southwark,2013,February,352306.63,2414
Southwark,2013,January,342616.25,2746
Southwark,2013,July,363506.68,2848
Southwark,2013,June,366355.29,2617
Southwark,2013,March,330016.09,2622
Southwark,2013,May,351784.94,2447
Southwark,2013,November,376147.5,2717
Southwark,2013,October,376014.16,2659
Southwark,2013,September,372362.3,2555
Southwark,2014,April,397813.71,2208
Southwark,2014,August,441661.66,2375
Southwark,2014,December,447422.74,2305
Southwark,2014,February,401255.76,2188
Southwark,2014,January,396213.3,2260
Southwark,2014,July,437381.76,2550
Southwark,2014,June,426532.27,2400
Southwark,2014,March,395415.06,2416
Southwark,2014,May,417812.96,2314
Southwark,2014,November,457005.61,2611
Southwark,2014,October,458333.95,2705
Southwark,2014,September,456360.18,2580
Southwark,2015,April,446846.06,2435
Southwark,2015,August,482318.52,2531
Southwark,2015,December,488642.46,2543
Southwark,2015,February,444793.8,2235
Southwark,2015,January,447193.88,2465
Southwark,2015,July,475937.25,2592
Southwark,2015,June,466241.57,2613
Southwark,2015,March,445189.88,2424
Southwark,2015,May,457925.68,2772
Southwark,2015,November,485993.42,2734
Southwark,2015,October,487628.75,2550
Southwark,2015,September,485698.95,2366
Southwark,2016,April,514788.68,2572
Southwark,2016,August,508908.33,2746
Southwark,2016,December,509842.95,2603
Southwark,2016,February,498894.55,2429
Southwark,2016,January,495497.26,2480
Southwark,2016,July,505215.63,2705
Southwark,2016,June,503827.16,2681
Southwark,2016,March,513355.65,2476
Southwark,2016,May,517877.57,2915
Southwark,2016,November,515504.14,2528
Southwark,2016,October,521833.26,2709
Southwark,2016,September,518429.96,2792
Sutton,2012,April,235097.18,895
Sutton,2012,August,239079.34,902
Sutton,2012,December,244047.13,924
Sutton,2012,February,233932.96,880
Sutton,2012,January,234451.71,824
Sutton,2012,July,241191.01,936
Sutton,2012,June,238754.39,903
Sutton,2012,March,233525.9,1009
Sutton,2012,May,237807.7,943
Sutton,2012,November,244326.68,928
Sutton,2012,October,242476.92,991
Sutton,2012,September,241415.21,813
Sutton,2013,April,242913.82,839
Sutton,2013,August,254848.08,843
Sutton,2013,December,265231.16,801
Sutton,2013,February,243275.28,760
Sutton,2013,January,243568.19,863
Sutton,2013,July,253393.5,877
Sutton,2013,June,250480.2,827
Sutton,2013,March,243096.01,824
Sutton,2013,May,248213.35,789
Sutton,2013,November,261968.07,867
Sutton,2013,October,260491.98,930
Sutton,2013,September,256554.48,837
Sutton,2014,April,277918.07,776
Sutton,2014,August,297731.94,734
Sutton,2014,December,310124.69,953
Sutton,2014,February,272240.68,802
Sutton,2014,January,269434.06,831
Sutton,2014,July,289551.74,955
Sutton,2014,June,284984.4,889
Sutton,2014,March,274933.67,890
Sutton,2014,May,281158.65,792
Sutton,2014,November,313785.26,1006
Sutton,2014,October,313165.59,981
Sutton,2014,September,308555.91,834
Sutton,2015,April,314051.27,913
Sutton,2015,August,327395.75,845
Sutton,2015,December,341716.6,876
Sutton,2015,February,310645.16,918
Sutton,2015,January,307545.47,835
Sutton,2015,July,323504.57,812
Sutton,2015,June,316575.72,1002
Sutton,2015,March,311024.74,962
Sutton,2015,May,314506.66,849
Sutton,2015,November,338618.6,832
Sutton,2015,October,335502.48,938
Sutton,2015,September,334098.65,816
Sutton,2016,April,360226.07,904
Sutton,2016,August,376311.12,768
Sutton,2016,December,369868.69,871
Sutton,2016,February,351088.15,914
Sutton,2016,January,343907.45,895
Sutton,2016,July,373699.11,831
Sutton,2016,June,369743.48,896
Sutton,2016,March,354131.33,942
Sutton,2016,May,363180.67,932
Sutton,2016,November,371406.78,960
Sutton,2016,October,374922.83,847
Sutton,2016,September,375151.88,898
Tower Hamlets,2012,April,275452.8,2065
Tower Hamlets,2012,August,290364.79,2446
Tower Hamlets,2012,December,295733.55,1939
Tower Hamlets,2012,February,281664.39,2061
Tower Hamlets,2012,January,287957.21,2167
Tower Hamlets,2012,July,283469.02,2336
Tower Hamlets,2012,June,282398.79,2636
Tower Hamlets,2012,March,277388.68,2256
Tower Hamlets,2012,May,273785.2,2193
Tower Hamlets,2012,November,293979.28,2263
Tower Hamlets,2012,October,294066.72,2309
Tower Hamlets,2012,September,289175.17,2113
Tower Hamlets,2013,April,291850.06,2171
Tower Hamlets,2013,August,309365.48,2278
Tower Hamlets,2013,December,351674.04,1909
Tower Hamlets,2013,February,294609.58,1939
Tower Hamlets,2013,January,293974.53,2087
Tower Hamlets,2013,July,306442.97,2553
Tower Hamlets,2013,June,304279.81,2109
Tower Hamlets,2013,March,287166.78,2132
Tower Hamlets,2013,May,293106.5,2393
Tower Hamlets,2013,November,339743.74,2227
Tower Hamlets,2013,October,324529.1,2283
Tower Hamlets,2013,September,311869.91,2177
Tower Hamlets,2014,April,376185.4,1952
Tower Hamlets,2014,August,386155.7,2065
Tower Hamlets,2014,December,404510.93,2159
Tower Hamlets,2014,February,360797.96,1793
Tower Hamlets,2014,January,355235.44,1938
Tower Hamlets,2014,July,380477.57,2305
Tower Hamlets,2014,June,382091.42,2300
Tower Hamlets,2014,March,367789.35,2120
Tower Hamlets,2014,May,380179.54,2107
Tower Hamlets,2014,November,399719.91,2308
Tower Hamlets,2014,October,401869.71,2237
Tower Hamlets,2014,September,391887.33,2220
Tower Hamlets,2015,April,409026.3,2071
Tower Hamlets,2015,August,419833.6,2315
Tower Hamlets,2015,December,444124.53,2400
Tower Hamlets,2015,February,409418.59,2036
Tower Hamlets,2015,January,407228.13,2163
Tower Hamlets,2015,July,426683.82,2597
Tower Hamlets,2015,June,429688.92,2278
Tower Hamlets,2015,March,405580.02,2273
Tower Hamlets,2015,May,422345.54,2372
Tower Hamlets,2015,November,440717.37,2326
Tower Hamlets,2015,October,426900.67,2400
Tower Hamlets,2015,September,421778.56,2262
Tower Hamlets,2016,April,456739.83,2323
Tower Hamlets,2016,August,449286.5,2451
Tower Hamlets,2016,December,460400.44,2405
Tower Hamlets,2016,February,460405.26,2086
Tower Hamlets,2016,January,458754.49,2345
Tower Hamlets,2016,July,443470.79,2783
Tower Hamlets,2016,June,439720.45,2467
Tower Hamlets,2016,March,469410.29,2178
Tower Hamlets,2016,May,450420.86,2519
Tower Hamlets,2016,November,467870.74,2501
Tower Hamlets,2016,October,465361.79,2707
Tower Hamlets,2016,September,463713.74,2488
Waltham Forest,2012,April,225589.36,1898
Waltham Forest,2012,August,236018.1,1936
Waltham Forest,2012,December,236813.8,1850
Waltham Forest,2012,February,225213.63,1628
Waltham Forest,2012,January,224073.89,1657
Waltham Forest,2012,July,236795.81,1953
Waltham Forest,2012,June,232594.53,2002
Waltham Forest,2012,March,224065.03,2012
Waltham Forest,2012,May,228913.66,2043
Waltham Forest,2012,November,231967.94,1945
Waltham Forest,2012,October,231511.78,1863
Waltham Forest,2012,September,235160.63,1860
Waltham Forest,2013,April,244409.96,1805
Waltham Forest,2013,August,258567.98,1848
Waltham Forest,2013,December,273184.4,1709
Waltham Forest,2013,February,239893.22,1755
Waltham Forest,2013,January,236855.6,2030
Waltham Forest,2013,July,256556.96,1811
Waltham Forest,2013,June,251846.03,1780
Waltham Forest,2013,March,239644.13,1765
Waltham Forest,2013,May,250010.88,1877
Waltham Forest,2013,November,269067.97,1784
Waltham Forest,2013,October,266434.63,1900
Waltham Forest,2013,September,264711.43,1839
Waltham Forest,2014,April,295647.1,1648
Waltham Forest,2014,August,329446.85,1677
Waltham Forest,2014,December,341382.12,1574
Waltham Forest,2014,February,287032.11,1644
Waltham Forest,2014,January,279085.16,1726
Waltham Forest,2014,July,321200.48,1768
Waltham Forest,2014,June,309114.3,1722
Waltham Forest,2014,March,290181.73,1726
Waltham Forest,2014,May,301593.02,1712
Waltham Forest,2014,November,341818.43,1707
Waltham Forest,2014,October,342013.22,1718
Waltham Forest,2014,September,340698.23,1649
Waltham Forest,2015,April,339615.35,1700
Waltham Forest,2015,August,366329.42,1762
Waltham Forest,2015,December,386440.73,1858
Waltham Forest,2015,February,337204.51,1504
Waltham Forest,2015,January,338714.25,1666
Waltham Forest,2015,July,355647.08,1887
Waltham Forest,2015,June,350957.69,1871
Waltham Forest,2015,March,335742.56,1799
Waltham Forest,2015,May,342504.78,1639
Waltham Forest,2015,November,385214.36,1912
Waltham Forest,2015,October,380366.28,1771
Waltham Forest,2015,September,371423.37,1600
Waltham Forest,2016,April,410743.06,1653
Waltham Forest,2016,August,415578.79,1663
Waltham Forest,2016,December,433856.58,1718
Waltham Forest,2016,February,404346.99,1696
Waltham Forest,2016,January,391910.98,1703
Waltham Forest,2016,July,413812.52,1831
Waltham Forest,2016,June,405638.03,1789
Waltham Forest,2016,March,411147.57,1760
Waltham Forest,2016,May,403535.94,1780
Waltham Forest,2016,November,430892.54,1719
Waltham Forest,2016,October,420219.95,1763
Waltham Forest,2016,September,416108.3,1641
Wandsworth,2012,April,384882.57,1965
Wandsworth,2012,August,426869.49,1893
Wandsworth,2012,December,420718.07,1763
Wandsworth,2012,February,391740.85,1894
Wandsworth,2012,January,398087.52,1876
Wandsworth,2012,July,422025.21,2112
Wandsworth,2012,June,409834.37,2086
Wandsworth,2012,March,389385.83,2387
Wandsworth,2012,May,402781.42,2110
Wandsworth,2012,November,415508.73,2126
Wandsworth,2012,October,421101.55,2261
Wandsworth,2012,September,429769.04,1984
Wandsworth,2013,April,441132.47,1853
Wandsworth,2013,August,467455.15,1959
Wandsworth,2013,December,484071.11,1571
Wandsworth,2013,February,440102.71,1823
Wandsworth,2013,January,429429.64,1895
Wandsworth,2013,July,455531.76,1924
Wandsworth,2013,June,448359.1,1886
Wandsworth,2013,March,434679.3,1867
Wandsworth,2013,May,439484.97,1917
Wandsworth,2013,November,482711.99,1773
Wandsworth,2013,October,481145.09,1934
Wandsworth,2013,September,484745.48,1888
Wandsworth,2014,April,529299.89,1613
Wandsworth,2014,August,573212.02,1800
Wandsworth,2014,December,554230.75,1809
Wandsworth,2014,February,508624.12,1543
Wandsworth,2014,January,497300.3,1727
Wandsworth,2014,July,564032.63,1882
Wandsworth,2014,June,556613.63,1852
Wandsworth,2014,March,516857.41,1620
Wandsworth,2014,May,542335.18,1723
Wandsworth,2014,November,554007.53,1923
Wandsworth,2014,October,566963.75,1972
Wandsworth,2014,September,570702.77,1900
Wandsworth,2015,April,561529.6,1834
Wandsworth,2015,August,584058.86,1772
Wandsworth,2015,December,594043.79,1810
Wandsworth,2015,February,560272.04,1720
Wandsworth,2015,January,553840.66,1779
Wandsworth,2015,July,568399.36,1888
Wandsworth,2015,June,556659.93,1914
Wandsworth,2015,March,561250.56,1949
Wandsworth,2015,May,556144.29,1979
Wandsworth,2015,November,592968.28,1907
Wandsworth,2015,October,593325.05,1970
Wandsworth,2015,September,589801.57,1879
Wandsworth,2016,April,604127.05,1888
Wandsworth,2016,August,609803.24,2021
Wandsworth,2016,December,615143.79,1913
Wandsworth,2016,February,593982.66,1774
Wandsworth,2016,January,596494.34,1800
Wandsworth,2016,July,614052.06,2303
Wandsworth,2016,June,609995.04,1962
Wandsworth,2016,March,602144.1,1872
Wandsworth,2016,May,613096.14,2036
Wandsworth,2016,November,615152.18,1904
Wandsworth,2016,October,617955.88,2197
Wandsworth,2016,September,612944.41,2009
Westminster,2012,April,650451.69,4623
Westminster,2012,August,739682.95,5246
Westminster,2012,December,745032.19,5147
Westminster,2012,February,654620.47,4381
Westminster,2012,January,653185.1,5084
Westminster,2012,July,711876.6,5428
Westminster,2012,June,704719.96,4797
Westminster,2012,March,642526.81,5362
Westminster,2012,May,664967.27,5104
Westminster,2012,November,729043.72,4952
Westminster,2012,October,736038.65,4761
Westminster,2012,September,730967.08,4341
Westminster,2013,April,771733.56,4458
Westminster,2013,August,779456.82,4640
Westminster,2013,December,857653.36,4445
Westminster,2013,February,733268.66,4431
Westminster,2013,January,736489.26,4749
Westminster,2013,July,786473.37,4758
Westminster,2013,June,793530.68,4506
Westminster,2013,March,730982.23,4577
Westminster,2013,May,786436.07,4309
Westminster,2013,November,854946.49,4420
Westminster,2013,October,834514.69,4512
Westminster,2013,September,814184.54,4047
Westminster,2014,April,890320.17,3684
Westminster,2014,August,949689.73,3917
Westminster,2014,December,975870.97,4314
Westminster,2014,February,879566.28,3825
Westminster,2014,January,855066.87,4172
Westminster,2014,July,941640.93,3806
Westminster,2014,June,923345.42,3887
Westminster,2014,March,877610.4,4349
Westminster,2014,May,896171.44,3821
Westminster,2014,November,974046.53,3973
Westminster,2014,October,955881.96,4029
Westminster,2014,September,953216.14,3787
Westminster,2015,April,945095.22,3757
Westminster,2015,August,935637.89,3944
Westminster,2015,December,1013416.94,4414
Westminster,2015,February,979436.3,3403
Westminster,2015,January,976648.83,3997
Westminster,2015,July,958775.81,3933
Westminster,2015,June,928565.83,3790
Westminster,2015,March,966294.07,3974
Westminster,2015,May,922584.46,4048
Westminster,2015,November,1013362.49,4225
Westminster,2015,October,963913.77,4179
Westminster,2015,September,971985.26,3731
Westminster,2016,April,966368.89,3736
Westminster,2016,August,986768.25,4291
Westminster,2016,December,1029584.83,4751
Westminster,2016,February,989059.01,3755
Westminster,2016,January,1024446.73,4022
Westminster,2016,July,1025447.65,4357
Westminster,2016,June,1017286.2,3785
Westminster,2016,March,971279.33,3703
Westminster,2016,May,1007474.23,3789
Westminster,2016,November,999384.17,4275
Westminster,2016,October,961901.0,4093
Westminster,2016,September,967520.05,3773
